Ion Type (Normalized),Structure Type (raw),Structure Group (Canonical),Doping / and or GB Strategy,superionic conductor Formula (Chemical),Conductivity σ (S·cm⁻¹),Temperature (°C),Structure Group (Normalized),Structure Family (Grouped)
Ag+,Amorphous SIC,Amorphous,–,50AgI–25Ag2O–25CrO3 (50SISOCO),0.007,,Amorphous SIC,Amorphous
Ag+,Amorphous SIC,Amorphous,–,50AgI–25Ag2O–25CrO3 (SISOCO),0.007,,Amorphous SIC,Amorphous
Ag+,Amorphous SIC,Amorphous,–,50AgI–33.5Ag2O–16.5V2O5 (SISOVO),0.003,,Amorphous SIC,Amorphous
Ag+,Amorphous SIC,Amorphous,–,50AgI–37.5Ag2O–12.5B2O3 (SISOBO),0.005,,Amorphous SIC,Amorphous
Ag+,Amorphous SIC,Amorphous,–,60AgI–20Ag2O–20CrO3 (60SISOCO),0.01,,Amorphous SIC,Amorphous
Ag+,"Halide, UCl3-type (non-close-packed)",Halide,–,Ag-UCl3 (AgCl–LaCl3–0.5TaCl5),0.0042,,"Halide, UCl3-type",Halide
Ag+,Partially amorphous SIC,Partially amorphous sic,–,70AgI–15Ag2O–15CrO3 (70SISOCO),0.011,,Partially Amorphous SIC,Partially amorphous sic
Ag+,b/γ-AgI solid solution (b/γ-AgIss),Phase polymorph,5 mol% AgBr + 5 mol% AgCl doping,AgI–AgBr–AgCl/MPA (Br5Cl5),0.0011,,b/γ-AgI solid solution,Phase polymorph
Ag+,b/γ-AgI solid solution + AgBrClss (phase-separated),Phase polymorph,10 mol% AgBr + 10 mol% AgCl doping,AgI–AgBr–AgCl/MPA (Br10Cl10),0.0009,,b/γ-AgI solid solution + AgBrClss,Phase polymorph
H+,Amorphous polymer,Amorphous,–,Disulfonic acid polymer (–SO3H rich),0.01,,Amorphous Polymer,Amorphous
H+,Polymer electrolyte (amorphous),Polymer,–,PVA–Iron Alum (uncrosslinked),1e-06,,Polymer electrolyte,Polymer
H+,Polymer electrolyte (cross-linked),Polymer,Glycerol,PVA–Iron Alum + Glycerol,1e-05,,Polymer electrolyte,Polymer
H+,Polymer electrolyte (cross-linked),Polymer,Glyoxal,PVA–Iron Alum + Glyoxal,5e-05,,Polymer electrolyte,Polymer
H+,Polymer electrolyte (cross-linked),Polymer,Succinic acid,PVA–Iron Alum + Succinic Acid,3e-05,,Polymer electrolyte,Polymer
H+,Supramolecular polymer electrolyte,Polymer,Deep eutectic solvent (DES) based on glycosyl-zwitterion with POM nanoclusters,"SPPC (Supramolecular Polymer Proton Conductor, DES-GZ/POM)",1.07,,Supramolecular Polymer electrolyte,Polymer
K+,Antiperovskite (hydroxide-cluster),Anti-Perovskite,AlF4 cluster + Br doping,K2OH(AlF4)0.875Br0.125,0.0196,,Anti-perovskite,Anti-perovskite
K+,Antiperovskite (hydroxide-cluster),Anti-Perovskite,AlF4 cluster + higher Br ratio,K2OH(AlF4)0.75Br0.25,0.0147,,Anti-perovskite,Anti-perovskite
K+,"Halide, UCl3-type (non-close-packed)",Halide,–,K-UCl3 (KCl–LaCl3–0.5TaCl5),0.00012,,"Halide, UCl3-type",Halide
Li+,3D porous polymer + ether network,Polymer,"Sulfonation of PVDF-HFP, ether polymer network infiltration",SICP-EPN (sulfonated PVDF-HFP + in situ polymerized PEGMEA + LiFSI/LiTFSI/LiNO3),0.00038,,3D porous Polymer + ether network,Polymer
Li+,Amorphous,Amorphous,–,Li4SiS4 (glass),0.0077,,Amorphous,Amorphous
Li+,Amorphous LPS,Amorphous,–,1P2S6 (amorphous),0.0404,,Amorphous LPS,Amorphous
Li+,Amorphous LPS,Amorphous,–,1P2S6–2S,0.0177,,Amorphous LPS,Amorphous
Li+,Amorphous LPS,Amorphous,–,1P2S7 (amorphous),0.00695,,Amorphous LPS,Amorphous
Li+,Amorphous LPS,Amorphous,–,1P2S7–1S,0.00424,,Amorphous LPS,Amorphous
Li+,Amorphous LPS,Amorphous,–,2P2S6–4S,0.00114,,Amorphous LPS,Amorphous
Li+,Amorphous LPS,Amorphous,–,2P2S7 (amorphous),0.00268,,Amorphous LPS,Amorphous
Li+,Amorphous LPS,Amorphous,–,2P2S7–2S,0.00991,,Amorphous LPS,Amorphous
Li+,Amorphous LPS,Amorphous,–,r-PS4 (amorphous),0.0129,,Amorphous LPS,Amorphous
Li+,Amorphous glass,Amorphous,Br doping,Li3PS3.5Br0.5 (x=0.5),0.001,,Amorphous glass,Amorphous
Li+,Amorphous glass,Amorphous,Br doping,Li3PS3Br (x=1.0),0.00186,,Amorphous glass,Amorphous
Li+,Amorphous glass,Amorphous,–,Li3PS4 (x=0),0.00034,,Amorphous glass,Amorphous
Li+,Amorphous oxychloride,Amorphous,–,1.6Li2O–TaCl5 (Sample 1),0.00019,,Amorphous oxychloride,Amorphous
Li+,Amorphous oxychloride,Amorphous,–,1.6Li2O–TaCl5 (Sample 4),0.00354,,Amorphous oxychloride,Amorphous
Li+,Amorphous oxychloride,Amorphous,–,1.6Li2O–TaCl5 (Sample 5),0.00694,,Amorphous oxychloride,Amorphous
Li+,Amorphous oxychloride,Amorphous,–,1.6Li2O–TaCl5 (Sample 6),0.00563,,Amorphous oxychloride,Amorphous
Li+,Amorphous oxychloride,Amorphous,–,1.6Li2O–TaCl5 (Sample 7),0.00717,,Amorphous oxychloride,Amorphous
Li+,Amorphous oxychloride,Amorphous,–,1.6Li2O–TaCl5 (Sample 8),0.0083,,Amorphous oxychloride,Amorphous
Li+,Amorphous oxychloride,Amorphous,–,1.6Li2O–TaCl5 (Sample 9),6.3e-05,,Amorphous oxychloride,Amorphous
Li+,Amorphous oxyhalide,Amorphous,Higher O substitution,Li4ZrCl4O2,3.0,,Amorphous oxyhalide,Amorphous
Li+,Anti-perovskite,Anti-Perovskite,Li/Cl depletion (δ = 0.05–0.20); unintended Al3+ doping,Li3-δOCl1-δ / Li3-δO(Cl0.5Br0.5)1-δ (depleted),,,Anti-perovskite,Anti-perovskite
Li+,"Anti-perovskite (cubic, Pm-3m, a = 3.91 Å)",Anti-Perovskite,–,Li3OCl,0.00085,,Anti-perovskite,Anti-perovskite
Li+,"Anti-perovskite (cubic, Pm-3m, a = 4.02 Å)",Anti-Perovskite,–,Li3OBr,1e-07,,Anti-perovskite,Anti-perovskite
Li+,Anti-perovskite (mixed-halide cubic),Anti-Perovskite,Cl/Br mixing,Li3OCl0.5Br0.5,0.00194,,Anti-perovskite,Anti-perovskite
Li+,Anti-perovskite (orthorhombic/monoclinic mix),Anti-Perovskite,–,Li2OHCl (pellet),0.0054,,Anti-perovskite,Anti-perovskite
Li+,Anti-perovskite/polymer-in-ceramic,Anti-Perovskite,Polyamide-imide binder (NR groups),Li2OHCl-g-PAI (composite),7.3e-06,,Anti-perovskite/Polymer-in-ceramic,Anti-perovskite
Li+,Anti-perovskite/polymer-in-ceramic,Anti-Perovskite,Polysulfone binder (SO groups),Li2OHCl-g-PSU (composite),0.00022,,Anti-perovskite/Polymer-in-ceramic,Anti-perovskite
Li+,Antiperovskite,Anti-Perovskite,BF4 cluster substitution + Br doping,Li3O(BF4)0.875Br0.125,0.00449,,Anti-perovskite,Anti-perovskite
Li+,Antiperovskite,Anti-Perovskite,Br-rich (75%),Li3OCl0.25Br0.75,,,Anti-perovskite,Anti-perovskite
Li+,Antiperovskite,Anti-Perovskite,Br/Cl ratio 1:1,Li3OCl0.5Br0.5,0.00194,,Anti-perovskite,Anti-perovskite
Li+,Antiperovskite,Anti-Perovskite,CN cluster doping + Br substitution,Li3S(CN)0.75Br0.25,0.00051,,Anti-perovskite,Anti-perovskite
Li+,Antiperovskite,Anti-Perovskite,CN cluster doping + Cl substitution,Li3S(CN)0.875Cl0.125,0.00147,,Anti-perovskite,Anti-perovskite
Li+,Antiperovskite,Anti-Perovskite,"Li interstitials, vacancies, Li–Cl / Li–Br Schottky, Frenkel","Li3OClxBr1-x + Defects (e.g., 1Liᵢ•, 2Liᵢ••, VLi′, Schottky, Frenkel)",2.0,,Anti-perovskite,Anti-perovskite
Li+,Antiperovskite,Anti-Perovskite,Partial Br doping (25%),Li3OCl0.75Br0.25,,,Anti-perovskite,Anti-perovskite
Li+,Antiperovskite (Pm-3m),Anti-Perovskite,–,Li3OBr,0.00024,,Anti-perovskite,Anti-perovskite
Li+,Antiperovskite (Pm-3m),Anti-Perovskite,–,Li3OCl,0.00085,,Anti-perovskite,Anti-perovskite
Li+,Antiperovskite (distorted cubic),Anti-Perovskite,Br/Cl mixing at halide sites (six configs),Li3OBr0.5Cl0.5 (s1–s6 configs),0.00135,,Anti-perovskite,Anti-perovskite
Li+,Antiperovskite (distorted cubic),Anti-Perovskite,"Br/Cl ordered, high-symmetry config.","Li3OBr0.5Cl0.5 (s6, high symmetry)",0.00245,,Anti-perovskite,Anti-perovskite
Li+,Antiperovskite (hydroxide-halide),Anti-Perovskite,Br doping into Li2OHCl lattice,Li2OHCl0.875Br0.125,0.00369,,Anti-perovskite,Anti-perovskite
Li+,Argyrodite,Argyrodite,Cl substitution tuning (0–0.7),Li6-aPS5-aCl1+a (0 ≤ a ≤ 0.7) series,0.0078,,Argyrodite,Argyrodite
Li+,Argyrodite,Argyrodite,Co-substitution,Li3PS4·1.5LiBH4·1LiCl (x=1),0.0092,,Argyrodite,Argyrodite
Li+,Argyrodite,Argyrodite,Co-substitution,Li3PS4·1.8LiBH4·0.7LiCl (x=0.7),0.0151,,Argyrodite,Argyrodite
Li+,Argyrodite,Argyrodite,Co-substitution,Li3PS4·1.9LiBH4·0.6LiCl (x=0.6),0.0149,,Argyrodite,Argyrodite
Li+,Argyrodite,Argyrodite,Co-substitution,Li3PS4·1LiBH4·1.5LiCl (x=1.5),0.0052,,Argyrodite,Argyrodite
Li+,Argyrodite,Argyrodite,Ga3+ doping (5% P replaced),Li6.1P0.95Ga0.05S5Cl (LPSC-0.05),0.0039,,Argyrodite,Argyrodite
Li+,Argyrodite,Argyrodite,Ga3+ doping (7% P replaced),Li6.14P0.93Ga0.07S5Cl (LPSC-0.07),0.0026,,Argyrodite,Argyrodite
Li+,Argyrodite,Argyrodite,Ge substitution (x=0.25),Li6.25Ge0.25As0.75S5I,0.0012,,Argyrodite,Argyrodite
Li+,Argyrodite,Argyrodite,Ge substitution (x=0.333),Li6.333Ge0.333As0.667S5I,0.0032,,Argyrodite,Argyrodite
Li+,Argyrodite,Argyrodite,Mg + Cl codoping,Li5.375Mg0.0625PS4.5Cl1.5,0.0015,,Argyrodite,Argyrodite
Li+,Argyrodite,Argyrodite,Mg + Cl codoping,Li5.375Mg0.125PS4.625Cl1.375,0.0013,,Argyrodite,Argyrodite
Li+,Argyrodite,Argyrodite,Mg + Cl codoping,Li5.8Mg0.1PS5Cl,0.0012,,Argyrodite,Argyrodite
Li+,Argyrodite,Argyrodite,Sn substitution (x=0.333),Li6.333Sn0.333As0.667S5I,0.00014,,Argyrodite,Argyrodite
Li+,Argyrodite,Argyrodite,–,Li6AsS5I (pristine),3e-06,,Argyrodite,Argyrodite
Li+,Argyrodite,Argyrodite,–,Li6PS5Br,0.0014,,Argyrodite,Argyrodite
Li+,Argyrodite,Argyrodite,–,Li6PS5Cl,0.001,,Argyrodite,Argyrodite
Li+,Argyrodite,Argyrodite,–,Li6PS5Cl (This work-1),0.00311,,Argyrodite,Argyrodite
Li+,Argyrodite,Argyrodite,–,"Li6PS5Cl (This work-2, scale-up)",0.00571,,Argyrodite,Argyrodite
Li+,Argyrodite,Argyrodite,–,Li6PS5I,0.00096,,Argyrodite,Argyrodite
Li+,Argyrodite (BH4-substituted),Argyrodite,–,Li3PS4·2.5LiBH4 (x=0),0.0106,,Argyrodite,Argyrodite
Li+,Argyrodite (BH4/Cl mixed),Argyrodite,Co-substitution (0.5Cl),Li3PS4·2LiBH4·0.5LiCl (x=0.5),0.0148,,Argyrodite,Argyrodite
Li+,"Argyrodite (core–shell, oxidized shell)",Argyrodite,"Surface oxidation via KMnO4 (200 °C, 1 h)",O-LiPSClBr (surface-oxidized),0.00815,,Argyrodite,Argyrodite
Li+,"Argyrodite (core–shell, oxidized shell, small particle)",Argyrodite,Surface oxidation,"O-LiPSClBr_s (oxidized, small particle)",0.00249,,Argyrodite,Argyrodite
Li+,"Argyrodite (cubic, F-43m)",Argyrodite,Cl-rich substitution (anion disorder),Li5.5PS4.5Cl1.5 (LPSCl1.5),0.0078,,Argyrodite,Argyrodite
Li+,Argyrodite (halide-excess),Argyrodite,Reduced particle size,"LiPSClBr_s (small particle, D50=3.6 µm)",0.00529,,Argyrodite,Argyrodite
Li+,Argyrodite (halide-excess),Argyrodite,–,"Li5.4PS4.4Cl0.6Br1.0 (LiPSClBr, pristine)",0.0108,,Argyrodite,Argyrodite
Li+,Argyrodite (reduced phase fraction),Argyrodite,Co-substitution,Li3PS4·0.5LiBH4·2LiCl (x=2),0.0024,,Argyrodite,Argyrodite
Li+,Argyrodite (sulfide),Argyrodite,–,"Li6PS5Cl (LPSC-P, pristine)",0.0013,,Argyrodite,Argyrodite
Li+,Argyrodite (thioarsenate),Argyrodite,Br substitution (x=0.3),Li5.7AsS4.7Br1.3,0.01,,Argyrodite,Argyrodite
Li+,Argyrodite (thioarsenate),Argyrodite,Br substitution (x=0.5),Li5.5AsS4.5Br1.5,0.0154,,Argyrodite,Argyrodite
Li+,Argyrodite (thioarsenate),Argyrodite,–,Li6AsS5Br,0.002,,Argyrodite,Argyrodite
Li+,Bicontinuous polymer nanostructure,Polymer,–,PVDF-g-PAN + 34 wt% LiTFSI,0.00058,,Bicontinuous Polymer nanostructure,Polymer
Li+,Ceramic oxide (LMTO),Oxide,–,LMTO ceramic (filler alone),,,Ceramic oxide,Oxide
Li+,Defect spinel (Fd3̅m) above 315 K,Spinel,–,LiInBr4,315.0,,Defect spinel  above 315 K,Spinel
Li+,Disordered rocksalt,Rock-Salt,Li deficiency,ns-LISO (near-stoichiometric DRX),3.32e-08,,Disordered rocksalt,Rock-salt
Li+,Glass-ceramic,Ceramic,–,Li7P3S11 (crystalline),0.0635,,Glass-ceramic,Ceramic
Li+,Halide (Li–In–Cl),Halide,–,Li3InCl6 (water-mediated synthesis),0.00204,,Halide,Halide
Li+,Halide (defect-rich),Halide,Anion engineering: F- + O2- co-substitution in Li3ZrCl6,Li2.5ZrCl5F0.5O0.5 (LZCFO),0.00117,,Halide,Halide
Li+,Halide (hcp),Halide,Fully ordered cation framework,Li2ZrCl6 (ordered),0.0002,,Halide,Halide
Li+,Halide (hcp),Halide,Partial substitution Y3+→Zr4+,Li3Y0.2Zr0.6Cl6,0.0012,,Halide,Halide
Li+,Halide (hcp),Halide,Partially disordered Zr sublattice,Li2ZrCl6 (disordered Zr),0.0011,,Halide,Halide
Li+,Halide (hcp),Halide,–,Li3InCl6,0.002,,Halide,Halide
Li+,Halide (hcp),Halide,–,Li3ScCl6,0.0034,,Halide,Halide
Li+,Halide (hcp),Halide,–,Li3YCl6 (mechanochemical),0.0018,,Halide,Halide
Li+,Halide (hcp),Halide,–,Li3YCl6 (solid-state synthesis),0.00065,,Halide,Halide
Li+,Halide (hcp),Halide,–,Li3ZrCl6 (reference),0.00062,,Halide,Halide
Li+,Halide (hcp-O),Halide,–,Li3YBr6,0.0024,,Halide,Halide
Li+,Halide (hcp-O/hcp-T mixed),Halide,Br- partial substitution,Li3YCl6-xBrx (x=1.5),0.0031,,Halide,Halide
Li+,Halide (hcp-T),Halide,In3+ partial substitution,Li3Ho0.6In0.4Cl6,0.0013,,Halide,Halide
Li+,Halide (hcp-T),Halide,–,Li3HoCl6,0.00042,,Halide,Halide
Li+,Halide (hcp-T),Halide,–,Li3YCl6,0.0017,,Halide,Halide
Li+,"Halide (orthorhombic, high stacking faults)",Halide,Partial substitution Br-→I-,Li3HoBr4I2 (x=2),0.0012,,Halide,Halide
Li+,"Halide (orthorhombic, maximum stacking faults)",Halide,Partial substitution Br-→I-,Li3HoBr3I3 (x=3),0.0017,,Halide,Halide
Li+,"Halide (orthorhombic, more stacking faults)",Halide,Partial substitution Br-→I-,Li3HoBr5I (x=1),0.00068,,Halide,Halide
Li+,"Halide (orthorhombic, stacking faulted)",Halide,–,Li3HoBr6 (x=0),0.00032,,Halide,Halide
Li+,"Halide, UCl3-type (non-close-packed)",Halide,–,Li-UCl3 (LiCl–LaCl3–0.5TaCl5),0.00239,,"Halide, UCl3-type",Halide
Li+,"Halide, monoclinic (after heat treatment)",Halide,High-level Hf4+ substitution,Li2.5Yb0.5Hf0.5Cl6,0.0014,,"Halide, monoclinic",Halide
Li+,"Halide, monoclinic (after heat treatment)",Halide,High-level Zr4+ substitution,Li2.5Yb0.5Zr0.5Cl6,0.0015,,"Halide, monoclinic",Halide
Li+,"Halide, non-close-packed",Halide,–,LiGaCl3 (predicted),0.00339,,"Halide, non-close-packed",Halide
Li+,"Halide, trigonal",Halide,Partial substitution Yb3+→Hf4+,Li2.8Yb0.8Hf0.2Cl6,0.00087,,"Halide, trigonal",Halide
Li+,"Halide, trigonal",Halide,–,Li3ErCl6,0.00035,,"Halide, trigonal",Halide
