Ion Type (raw),Ion Type,Structure Type (raw),Structure Group,Doping / and or GB Strategy,Superionic Conductor Formula (Chemical),Conductivity σ (S/cm) (raw),Conductivity σ (S/cm),Activation Energy Ea (eV) (raw),Activation Energy Ea (eV),Temperature (°C)
Li⁺,Li+,UCl₃-type LaCl₃ lattice with 1D channels,Other,Ta doping → La vacancies,Li₀.₃₈₈Ta₀.₂₃₈La₀.₄₇₅Cl₃,3.02e-3 / 30 °C,0.00302,0.197,0.197,30.0
Li⁺,Li+,β-phase (P6₃/mmc),Other,Vacancy engineering (Li + N vacancies),"β-Li₃N (vacancy-rich, 400 rpm – 16 h)",2.14e-3 / 25 °C,0.00214,0.371,0.371,25.0
Li⁺,Li+,Garnet-type (cubic),Other,–,Li₇La₃Zr₂O₁₂ (LLZO),3.0e-4 / 25 °C,0.0003,0.30–0.34,0.3,25.0
F⁻,F-,"Tysonite (trigonal, P3̄c1)",Other,–,LaF₃ (tysonite),–,,–,,
Li⁺,Li+,Garnet–polymer composite (cubic LLZO + PEO),Polymeric,–,Li₇La₃Zr₂O₁₂–PEO (LiClO₄) composite,~1e-4 / 25 °C,0.0001,–,,25.0
Li⁺,Li+,LGPS-type (P4₂/nmc),Other,Si + Cl aliovalent doping,Li₉.₅₄Si₁.₇₄P₁.₄₄S₁₁.₇Cl₀.₃,2.5e-2 / 25 °C,0.025,–,,25.0
Li⁺,Li+,LGPS-type (P4₂/nmc),Other,–,Li₉.₆P₃S₁₂,~1e-2 / 25 °C,0.01,–,,25.0
Li⁺,Li+,Borosulfide,Other,–,Li₅B₇S₁₃,7.4e-2 / 25 °C (predicted RT),0.074,–,0.267,25.0
Li⁺,Li+,Borosulfide,Other,–,Li₂B₂S₅,9.7e-3 / 25 °C (predicted RT),0.0097,–,0.32,25.0
Li⁺,Li+,Borosulfide (Cs-substituted),Other,Cs substitution,CsLi₂BS₃,~1e-3 / 25 °C (assumed from Li₃BS₃),0.001,–,,25.0
Li⁺,Li+,Halide (trigonal),Halide,–,Li₃ErCl₆,3e-4 / 25 °C (predicted RT),0.0003,–,0.351,25.0
Li⁺,Li+,Halide (trigonal),Halide,–,Li₃InCl₆,~1e-3 / 25 °C (exp. literature),0.001,–,0.29,25.0
Li⁺,Li+,Oxide-iodate,Other,–,Li₂HIO,~1e-4 / 25 °C (predicted RT),0.0001,–,,25.0
Li⁺,Li+,Oxyfluoride,Halide,–,LiSO₃F,8.2e-2 / 25 °C (predicted RT),0.082,–,,25.0
Li⁺,Li+,Nitridoborohydride,Other,–,LiMgB₃(H₉N)₂,7.9e-3 / 25 °C (predicted RT),0.0079,–,,25.0
Li⁺,Li+,Carbodiimide nitride,Other,–,Sr₂LiCBr₃N₂,3.3e-5 / 25 °C (marginal RT),3.3e-05,–,,25.0
Li⁺,Li+,Selenide,Other,–,LiErSe₂,8.8e-5 / 25 °C (marginal RT),8.8e-05,–,,25.0
Li⁺,Li+,Borate,Other,–,Li₆Ho(BO₃)₃,5.1e-3 / 25 °C (predicted RT),0.0051,–,,25.0
Li⁺,Li+,Oxide,Other,–,LiSbO₃,6.7e-4 / 25 °C (predicted RT),0.00067,–,,25.0
Ag⁺,Ag+,Halide (β-AgI → α-AgI transition),Halide,–,"(AgI)ₓ–C(1–ₓ), x=1.00 (pure AgI)",σ ~1 / 150 °C (α-AgI phase),1.0,–,,150.0
Ag⁺ + e⁻,Ag+,Composite (AgI–C),Other,Carbon addition (1%),"(AgI)ₓ–C(1–ₓ), x=0.99","Non-Arrhenius; σ increases with T, abrupt jump at 140 °C",140.0,–,,140.0
Ag⁺ + e⁻,Ag+,Composite (AgI–C),Other,Carbon addition (2%),"(AgI)ₓ–C(1–ₓ), x=0.98",Non-Arrhenius; jump in σ near 140 °C,140.0,–,,140.0
Ag⁺ + e⁻,Ag+,Composite (AgI–C),Other,Carbon addition (3%),"(AgI)ₓ–C(1–ₓ), x=0.97","Non-Arrhenius; σ grows with T, reduced jump amplitude",,–,,
Ag⁺ + e⁻,Ag+,Composite (AgI–C),Other,Carbon addition (6%),"(AgI)ₓ–C(1–ₓ), x=0.94",Conductivity dominated by electrons; model only fits abrupt jump,,–,,
Li⁺,Li+,Halide (trigonal P3m1),Halide,–,Li₃ErCl₆ (ball-milled),3.0e-4 / 25 °C,0.0003,0.41,0.41,25.0
Li⁺,Li+,Halide (trigonal P3m1),Halide,–,Li₃ErCl₆ (annealed),5.0e-5 / 25 °C,5e-05,0.48,0.48,25.0
Li⁺,Li+,Phosphate (oxide),Other,–,LiCa₉Mg(PO₄)₇,–,,–,,
Li⁺,Li+,Nitrate (oxide),Other,–,Li₂Pr(NO₃)₅,–,,–,,
Li⁺,Li+,Fluoride salt,Halide,–,LiPF₆,–,,–,,
Li⁺,Li+,Fluoride salt,Halide,–,LiAsF₆,–,,–,,
Li⁺,Li+,Fluoride salt,Halide,–,LiSbF₆,–,,–,,
Li⁺,Li+,Fluoride complex,Halide,–,LiK₂AlF₆,–,,–,,
Li⁺,Li+,Chloride,Halide,–,Li₁₀Mg₇Cl₂₄,–,,–,,
Li⁺,Li+,Chloride,Halide,–,LiCs₂LuCl₆,–,,–,,
Li⁺,Li+,Chloride,Halide,–,LiCs₂YCl₆,–,,–,,
Li⁺,Li+,Chloride,Halide,–,Li₃CsCl₄,–,,–,,
Li⁺,Li+,Chloride,Halide,–,LiYb₂Cl₅,–,,–,,
Li⁺,Li+,Chloride,Halide,–,Li₂CsCl₃,–,,–,,
Li⁺,Li+,Chloride,Halide,–,LiCsCl₂,–,,–,,
Li⁺,Li+,Bromide,Halide,–,LiRbBr₂,–,,–,,
Li⁺,Li+,Bromide,Halide,–,Li₃ErBr₆,–,,–,0.325,
Li⁺,Li+,Nitride-boride,Other,–,LiSr₄(BN₂)₃,–,,–,,
K⁺,K+,1D Nanopore (CNT),Other,COO⁻ termination (3–6 groups),"CNTPs (Carbon Nanotube Porins, 0.8 nm, 10 nm length)",D ≈ 7.34e-13 m²/s; μ ≈ 7.85e-8 m²/Vs @25 °C,,–,,25.0
Li⁺,Li+,"Thio-phosphate (LGPS-type, tetragonal/orthorhombic)",Other,–,Li₁₀GeP₂S₁₂ (LGPS),"1.2e-2 / 25 °C (experimental, cited)",0.012,0.17–0.18 (FPMD),0.17,25.0
Li⁺,Li+,"Argyrodite (cubic, F4̅3m)",Argyrodite,Cl-doping,Li₆PS₅Cl (annealed 200 °C),2.87e-5 / 25 °C,2.87e-05,~0.40,0.4,25.0
Li⁺,Li+,Argyrodite,Argyrodite,Cl-doping,Li₆PS₅Cl (annealed 300 °C),2.96e-4 / 25 °C,0.000296,~0.40,0.4,25.0
Li⁺,Li+,Argyrodite,Argyrodite,Cl-doping,Li₆PS₅Cl (annealed 400 °C),5.49e-4 / 25 °C,0.000549,~0.40,0.4,25.0
Li⁺,Li+,Argyrodite,Argyrodite,Cl-doping,"Li₆PS₅Cl (annealed 500 °C, pellet)",7.93e-4 / 25 °C,0.000793,0.40 → 0.26 (thin-film),0.26,25.0
Li⁺,Li+,Argyrodite,Argyrodite,Cl-doping,"Li₆PS₅Cl (thin film, 500 °C)",7.43e-4 / 25 °C,0.000743,0.26,0.26,25.0
Li⁺,Li+,"Thio-LISICON (tetragonal, P4₂/nmc)",Other,–,Li₁₀GeP₂S₁₂ (LGPS),"1.2e-2 / 25 °C (experimental, cited)",0.012,0.17–0.18 (FPMD),0.17,27.0
K⁺,K+,"Sulfide (orthorhombic, Cmc2₁; distorted bcc)",Other,–,β-K₃SbS₄,2.5e-6 / 25 °C; 1.0e-4 / 180 °C,2.5e-06,0.27,0.27,25.0
K⁺,K+,"Sulfide (orthorhombic, vacancy-rich)",Other,W-doping (8%),K₂.92Sb₀.92W₀.08S₄,7.7e-5 / 25 °C; 1.4e-4 / 40 °C,7.7e-05,0.27,0.27,25.0
Li⁺,Li+,Garnet (tetragonal),Other,–,Li₇La₃Zr₂O₁₂ (LLZ),9.9e-6 / 27 °C,9.9e-06,0.43,0.43,27.0
Li⁺,Li+,Garnet (cubic),Other,Ta-doping (x=0.25),Li₆.₇₅La₃Zr₁.₇₅Ta₀.₂₅O₁₂,4.1e-4 / 27 °C,0.00041,0.42,0.42,27.0
Li⁺,Li+,Garnet (cubic),Other,Ta-doping (x=0.5),Li₆.₅La₃Zr₁.₅Ta₀.₅O₁₂,6.1e-4 / 27 °C,0.00061,0.40,0.4,27.0
Li⁺,Li+,Garnet (cubic),Other,Ta-doping (x=1.0),Li₆La₃ZrTaO₁₂,2.1e-4 / 27 °C,0.00021,0.42,0.42,27.0
Li⁺,Li+,Argyrodite,Argyrodite,–,Li₆PS₅Cl,– (only D: 0.7e-6 cm²/s @300 K; 5–7e-6 cm²/s @600 K),,0.11–0.16,0.11,-6.0
Na⁺,Na+,Tetragonal (I4₁/acd),Other,–,Na₁₁Sn₂PS₁₂,1.4–3.7e-3 / 25 °C,0.0014,"0.19 (calc.), 0.24 (exp.)",0.24,25.0
Na⁺,Na+,Tetragonal (I4₁/acd),Other,–,Na₁₁Sn₂PSe₁₂,3.0e-3 / 25 °C,0.003,"0.18 (calc.), 0.31 (exp.)",0.31,25.0
Na⁺,Na+,Tetragonal (I4₁/acd),Other,–,Na₁₁Sn₂SbS₁₂,0.5–0.6e-3 / 25 °C,0.0005,"0.25 (calc.), 0.34 (exp.)",0.34,25.0
Na⁺,Na+,"NASICON (R-3c, rhombohedral)",NASICON,–,Na₂.₅Zr₂Si₁.₅P₁.₅O₁₂,–,,~0.39,0.39,
Na⁺,Na+,"NASICON (C2/c, monoclinic)",NASICON,–,Na₃Zr₂Si₂P₁O₁₂,1.65e-1 / 200 °C,0.165,0.34 (below PT ~431 K); 0.28 (above PT),0.28,200.0
Na⁺,Na+,"NASICON (C2/c, monoclinic)",NASICON,–,Na₃.₄Zr₂Si₂.₄P₀.₆O₁₂,1.65e-1 / 200 °C,0.165,0.32 (below PT ~414 K); 0.24 (above PT),0.32,200.0
Li⁺,Li+,"Garnet (cubic, Ia-3d)",Other,–,Li₇La₃Zr₂O₁₂ (cubic LLZO),5.0e-4 / 25 °C (lit.),0.0005,–,,25.0
Ag⁺,Ag+,2D Type I superionic conductor (R3̄m),Other,–,KAg₃Se₂ (α-phase),D ≈ 1.0e-5 cm²/s at 710–740 K (QENS/AIMD); σ ~ reported in text,,0.12,0.12,-5.0
Ag⁺,Ag+,2D Type I SIC,Other,Na substitution,NaₓK₁₋ₓAg₃Se₂ (0 ≤ x ≤ 0.1),–,,–,,
Ag⁺,Ag+,2D Type I SIC,Other,Rb substitution,RbₓK₁₋ₓAg₃Se₂ (0 ≤ x ≤ 0.75),–,,–,,
Ag⁺,Ag+,2D Type I SIC,Other,Cs substitution,CsAg₃Se₂,–,,–,,
F⁻,F-,"Cubic Im3m (anti-α-AgI type, b.c.c.)",Other,K substitution,(PbF₂)₁₋ₓ(KF)ₓ (0.333 ≤ x ≤ 0.68),0.4 / 675 K,0.4,–,,
F⁻,F-,"Cubic Pm3m (partially ordered, perovskite-like)",Other,Rb substitution,(PbF₂)₁₋ₓ(RbF)ₓ (0.333 ≤ x ≤ 0.500),"Tc = 619 K (x=0.333), decreasing with x",619.0,–,,
F⁻,F-,Ordered cubic perovskite Pm3m,Other,Cs substitution,(PbF₂)₀.₅(CsF)₀.₅ (CsPbF₃),No superionic transition up to 870 K,870.0,–,,
Li⁺,Li+,"Halide, P̄3m1",Halide,–,Li₃YCl₆,"1.4e-4 / 25 °C; Ea=0.70 (<130 °C), Ea=0.22 (>130 °C); extrapolated σRT ≈ 2.9e-2",0.00014,0.70 / 0.22,0.22,25.0
Li⁺,Li+,"Halide, P̄3m1",Halide,Br substitution,Li₃YCl₅.₅Br₀.₅,–,,0.22,0.22,
Li⁺,Li+,"Halide, P̄3m1",Halide,Br substitution,Li₃YCl₅Br,–,,0.22,0.22,
Li⁺,Li+,"Halide, P̄3m1",Halide,Br substitution,Li₃YCl₄.₅Br₁.₅,6.1e-3 / 25 °C; >1.0e-1 / 80 °C; Tc=70 °C,0.0061,0.22,0.22,25.0
Li⁺,Li+,"Halide, P̄3m1",Halide,"Gd substitution, Br rich",Li₃GdCl₃Br₃,1.1e-2 / 25 °C; Tc≈−10 °C,0.011,0.25 / 0.47,0.25,25.0
Li⁺,Li+,"Halide, P̄3m1",Halide,–,Li₃YCl₆,"1.4e-4 / 25 °C; Ea=0.70 (<130 °C), Ea=0.22 (>130 °C); extrapolated σRT ≈ 2.9e-2",0.00014,0.70 / 0.22,0.22,25.0
Li⁺,Li+,"Halide, P̄3m1",Halide,Br substitution,Li₃YCl₅.₅Br₀.₅,–,,0.22,0.22,
Li⁺,Li+,"Halide, P̄3m1",Halide,Br substitution,Li₃YCl₅Br,–,,0.22,0.22,
Li⁺,Li+,"Halide, P̄3m1",Halide,Br substitution,Li₃YCl₄.₅Br₁.₅,6.1e-3 / 25 °C; >1.0e-1 / 80 °C; Tc=70 °C,0.0061,0.22,0.22,25.0
I⁻,I-,Cubic perovskite (Pm3̅m),Other,Surface functionalization with long-chain ammonium cations,"FAPbI₃ (stabilized with BA, PEA, FPEA ligands)",–,,–,,
H⁺,H+,Orthorhombic Pnnm,Other,–,HO₂ (proton superoxide),"27–72 Ω⁻¹·cm⁻¹ eq. (100–900 GPa, AIMD)",27.0,–,,
H⁺/Li⁺,H+,– (LiO₂-derived supercell),Other,Partial Li → H substitution,Li₅₃O₁₀₈H (H–Li mixed superoxide),Stable at 60 GPa; high conductivity (qualitative),60.0,–,,
H⁺/Li⁺,Li+,– (LiO₂-derived supercell),Other,Partial Li → H substitution,Li₅₃O₁₀₈H (H–Li mixed superoxide),Stable at 60 GPa; high conductivity (qualitative),60.0,–,,
Li⁺,Li+,Thio-LISICON,Other,–,Li₁₀GeP₂S₁₂ (LGPS),"1.2e-2 / 25 °C (experimental, cited)",0.012,0.17–0.18 (FPMD),0.17,
Li⁺,Li+,Thio-LISICON,Other,Ge → Si substitution,Li₁₀SiP₂S₁₂,2.3e-2 / 25,0.023,0.20,0.2,
Li⁺,Li+,Thio-LISICON,Other,Ge → Sn substitution,Li₁₀SnP₂S₁₂,6e-3 / 25,0.006,0.24,0.24,
Li⁺,Li+,Thio-LISICON,Other,Aliovalent P⁵⁺ substitution,Li₉P₃S₁₂,4e-3 / 25,0.004,0.26,0.26,
Li⁺,Li+,Thio-LISICON,Other,Aliovalent Al³⁺ substitution,Li₁₁AlP₂S₁₂,3.3e-2 / 25,0.033,0.18,0.18,
Li⁺,Li+,Oxide-LISICON,Other,O substitution,Li₁₀GeP₂O₁₂,3e-5 / 25,3e-05,0.36,0.36,
Li⁺,Li+,Selenide-LISICON,Other,Se substitution,Li₁₀GeP₂Se₁₂,2.4e-2 / 25,0.024,0.19,0.19,
Effective ionic carriers (colloidal),Effectiveioniccarriers,fcc colloidal lattice,Other,–,"Binary charged colloidal crystal (RL=5 nm, qL=−80e; RS=1 nm, qS=+10e)",Ionic → superionic transition at Tc ≈ 320 K; field-induced at E ≈ 1 mV/nm,320.0,–,,
Rb⁺,Rb+,Amorphous (borate glass),Amorphous,–,(Rb₂O)₁₀(B₂O₃)₉₀,σ(T) from impedance; Tg ≈ 550 K,550.0,–,,
Rb⁺,Rb+,Amorphous (borate glass),Amorphous,–,(Rb₂O)₁₅(B₂O₃)₈₅,Conductivity from Arrhenius fits,,–,,
Rb⁺,Rb+,Amorphous (borate glass),Amorphous,–,(Rb₂O)₂₀(B₂O₃)₈₀,Conductivity from σdc(T),,–,,
Rb⁺,Rb+,Amorphous (borate glass),Amorphous,–,(Rb₂O)₃₀(B₂O₃)₇₀,σdc(T); Ea ≈ 0.97 eV,0.97,0.97,0.97,
Li⁺,Li+,Argyrodite,Argyrodite,–,Li₆PS₅Cl,– (only D: 0.7e-6 cm²/s @300 K; 5–7e-6 cm²/s @600 K),,0.11–0.16,0.11,
Li⁺,Li+,Argyrodite,Argyrodite,–,Li₆PS₅Br,~1.0e-3 / 25,0.001,0.21–0.30,0.21,
Li⁺,Li+,Argyrodite,Argyrodite,–,Li₆PS₅I,~1.0e-6 / 25,1e-06,~0.47,0.47,
Li⁺,Li+,Argyrodite,Argyrodite,–,Li₆PS₅Cl₀.₅Br₀.₅,~1.0e-3 / 25,0.001,~0.30,0.3,
Li⁺,Li+,Argyrodite,Argyrodite,–,Li₆PS₅Cl₁/₃Br₁/₃I₁/₃,~1.0e-4–1.0e-5 / 25,0.0001,~0.35–0.40,0.35,
Cu⁺,Cu+,Antifluorite (α-phase above 414 K),Other,–,Cu₂Se,"D ≈ 5.3×10⁻⁷ cm²/s (423 K, QENS); consistent with σ-derived D ≈ 6.1×10⁻⁷ cm²/s",,– (depends on hopping pathway; no single number),,
Ag⁺,Ag+,Halide (α-AgI stabilized at RT),Halide,Polymer coating (PVP) + nanosizing,"AgI (PVP-coated nanoparticles, 10–41 nm)",1.5e-2 / 24 (11 nm particles); stable α-phase down to 30 °C,30.0,"0.06 (11 nm, cooling branch)",0.06,30.0
Li⁺,Li+,Argyrodite,Argyrodite,Variation in P₂S₅ content (0–45% excess); BM vs liquid-phase,"Li₆PS₅Cl (hc-LPSCl_00, _15, _30, _45; hc-LPSCl_BM)","1.20–1.92 (liquid samples), 2.19 (BM) / 25–30",1.2,0.27–0.32,0.27,
Li⁺,Li+,Sulfide cluster,Other,–,Li₂Mo₃S₄,6.24e−2 / 25,6.24,0.134,0.134,
Li⁺,Li+,Nitride,Other,Ta/W substitution,Li₆.₅Ta₀.₅W₀.₅N₄,1.3e−4 / 25,1.3,0.341,0.341,
Li⁺,Li+,Nitride,Other,Nb/W substitution,Li₆.₅Nb₀.₅W₀.₅N₄,6.3e−4 / 25,6.3,0.287,0.287,
Li⁺,Li+,Thiophosphate,Other,–,Li₇PSe₆,1.74e−3 / 25,1.74,0.309,0.309,
Li⁺,Li+,Thiophosphate,Other,–,Li₁₀Ge(PSe₆)₂,1.27e−3 / 25,1.27,0.314,0.314,
Li⁺,Li+,Thiophosphate,Other,–,Li₁₀Sn(PSe₆)₂,1.40e−3 / 25,1.4,0.306,0.306,
Li⁺,Li+,Thiophosphate,Other,–,Li₁₀Si(PSe₆)₂,8.6e−4 / 25,8.6,0.329,0.329,
Li⁺,Li+,Sulfide,Other,Mn/Ta/Sn substitution,Li₂Mn₀.₇₅Ta₀.₅Sn₀.₅S₄,1.70e−2 / 25,1.7,0.214,0.214,
Li⁺,Li+,Sulfide,Other,Zn/Ta substitution,Li₂Zn₀.₅TaS₄,2.1e−4 / 25,2.1,0.363,0.363,
Li⁺,Li+,Nitride,Other,–,Li₇Cu₂N₃,2.18e−2 / 25,2.18,0.216,0.216,
Li⁺,Li+,Phosphate,Other,V substitution,Li₅SiP₃ (doped V),5.0e−4 / 25,5.0,0.351,0.351,
Li⁺,Li+,Silicide,Other,Hf substitution,Li₁₄MgSi₄ (doped Hf),2.7e−3 / 25,2.7,0.308,0.308,
Li⁺,Li+,Silicide,Other,Hf substitution,Li₂MgSi (doped Hf),5.0e−4 / 25,5.0,0.351,0.351,
Li⁺,Li+,Novel orthorhombic (slab structure of alternating GeS₄ and PS₄ tetrahedra),Other,Vacancy introduction via aliovalent substitution in Li₂−ₓGe₁−ₓPₓS₃ (x=0.25),Li₂₁Ge₈P₃S₃₄,9.5e−4–1.0e−3 / 30,9.5,0.20,0.2,
Li⁺,Li+,"Halide (Oxychloride, amorphous-rich)",Halide,Cu²⁺ substitution + O²⁻ incorporation (CASE strategy),Li₂.₁Zr₀.₉₅Cu₀.₀₅Cl₄.₄O₀.₈,2.05e-3 / 25,0.00205,0.287,0.287,
Li⁺,Li+,Argyrodite,Argyrodite,"Multi-cation substitution (Ge, Si, Sb)",Li₇₋ₓ(GeSi)(₁₋ₓ)/₂SbₓS₅I (x≈1/3),1.27e-2 / 25 (cold-pressed); 3.22e-2 / 25 (hot-pressed),0.0127,0.17,0.17,
Li⁺,Li+,"Sulfide (Spinel-type, Fd-3m)",Spinel,–,Li₃.₆In₇S₁₁.₈Cl,1.1e-3 / 25 (4.2e-3 after moisture),0.0011,0.26,0.26,
Li⁺,Li+,Halide,Halide,Al³⁺ substitution for Zr⁴⁺,Li₂.₃₇₅Al₀.₃₇₅Zr₀.₆₂₅Cl₆,0.87 / 30,0.87,0.34,0.34,
Li⁺,Li+,Halide,Halide,"Al³⁺ substitution, Li-deficient",Li₁.₆₂₅Al₀.₃₇₅Zr₀.₆₂₅Cl₅.₂₅,1.10 / 30 (exp.); 5.73 / 30 (AIMD),1.1,0.30 (exp.); 0.27 (AIMD),0.3,
Li⁺,Li+,Halide,Halide,Fe³⁺ substitution for Zr⁴⁺,Li₂.₂₅Fe₀.₂₅Zr₀.₇₅Cl₆,0.98 / 30,0.98,–,,
Li⁺,Li+,Halide,Halide,"Fe³⁺ substitution, Li-deficient",Li₁.₇₅Fe₀.₂₅Zr₀.₇₅Cl₅.₇₅,1.20 / 30,1.2,–,,
Li⁺,Li+,Halide,Halide,Y³⁺ substitution for Zr⁴⁺,Li₁.₆₂₅Y₀.₃₇₅Zr₀.₆₂₅Cl₅.₂₅,1.35 / 30 (AIMD extrapolated),1.35,0.32 (AIMD),0.32,
Li⁺,Li+,Halide,Halide,"Al³⁺ + Y³⁺ co-doping, Li-deficient",Li₂.₁Zr₀.₆Al₀.₂Y₀.₂Cl₅.₇,1.81 / 30,1.81,–,,
Li⁺,Li+,Halide,Halide,"Al³⁺ + Y³⁺ co-doping, Li-sufficient",Li₂.₄Zr₀.₆Al₀.₂Y₀.₂Cl₆,0.76 / 30,0.76,–,,
Li⁺,Li+,Halide,Halide,"Fe³⁺ + Y³⁺ co-doping, Li-deficient",Li₂.₁Zr₀.₆Fe₀.₂Y₀.₂Cl₅.₇,1.36 / 30,1.36,–,,
Li⁺,Li+,Halide,Halide,"Fe³⁺ + Y³⁺ co-doping, Li-sufficient",Li₂.₄Zr₀.₆Fe₀.₂Y₀.₂Cl₆,0.95 / 30,0.95,–,,
Li⁺,Li+,Halide,Halide,"Fe³⁺ + Al³⁺ co-doping, Li-deficient",Li₁.₈Zr₀.₈Fe₀.₁Al₀.₁Cl₅.₆,1.04 / 30,1.04,–,,
Li⁺,Li+,Halide,Halide,"Fe³⁺ + Al³⁺ co-doping, Li-sufficient",Li₂.₂Zr₀.₈Fe₀.₁Al₀.₁Cl₆,0.96 / 30,0.96,–,,
Li⁺,Li+,Oxychloride (LiMXCl₄),Halide,–,LiNbOCl₄,1.07e-2 / 25 (exp); 1.57e-2 / 25 (AIMD),0.0107,0.24,0.24,
Li⁺,Li+,Oxychloride (LiMXCl₄),Halide,–,LiTaOCl₄,1.24e-2 / 25 (exp); 6.2e-2 / 25 (AIMD),0.0124,0.18–0.23,0.18,
Li⁺,Li+,Oxychloride (LiMXCl₄),Halide,–,LiSbOCl₄,9e-3 / 25 (AIMD),0.009,0.13–0.24,0.13,
Li⁺,Li+,Fluoro-chloride (LiMXCl₄),Halide,–,LiTiFCl₄,>1e-2 / 25 (AIMD),0.01,0.13–0.24,0.13,
Li⁺,Li+,Fluoro-chloride (LiMXCl₄),Halide,–,LiZrFCl₄,>1e-2 / 25 (AIMD),0.01,0.13–0.24,0.13,
Li⁺,Li+,Fluoro-chloride (LiMXCl₄),Halide,Li-stuffed variant,LiHfFCl₄,1.375e-1 / 25 (AIMD),0.1375,≈0.20,0.2,
